OTUID,S1,S6,S10,S11,S12,S14,S16,S17,S18,S20,S23,S25,S26,S27
461e88572c8531337fca53eec668f6af,0,454,531,0,816,598,1067,2471,170,220,1172,1029,3944,557
4097a388df74933fcfcfccf035b999dc,0,332,772,0,870,940,830,1555,62,0,558,487,2534,237
b41203c39cb61b9cad701eae576c7a1f,182,264,483,0,1093,703,538,1089,100,0,476,439,2124,118
b5b0a1eaf94f7c48cca227b748b1036d,0,1261,75,235,0,0,987,432,294,1228,257,724,352,334
9992356b67d588dcfae3705dff08cab0,0,255,328,0,460,332,545,649,135,0,464,424,1648,200
63dc415afa46898d8f95e86cacdc2959,0,189,297,75,652,377,298,265,172,0,227,284,969,89
0785e6aa088438bcb540dff46140d8dc,0,204,409,0,603,481,471,412,0,0,268,265,1136,126
7959d6c6e725d05ab35dc33940d086e6,0,205,306,0,755,721,1118,722,0,0,388,398,1119,0
4785ca0d6be9ce6b756299fdb9cbd446,0,200,217,0,493,605,985,686,0,0,524,490,1168,0
094f65a2e1dc6dc372adb7d92578960a,330,991,127,299,0,210,776,290,0,748,0,397,278,248
3bbe760934382858060797fe375bfae9,0,183,281,0,558,578,845,442,0,0,284,318,1069,0
d1bf5cbb64f8143d138fceda9490ca0b,0,134,179,0,697,408,484,324,0,0,130,211,816,102
5fefd58eff69972a90d5e8028ba79fa1,95,732,211,159,329,0,502,327,0,486,0,377,161,229
298ecc6af776bb7edff402ad29dcba9f,0,140,189,0,593,456,582,257,47,0,205,269,684,0
061f96f0edf66dc86ed5fdc108beb5bd,0,600,104,216,0,193,1051,168,0,322,0,338,0,0
1a51394e215894d87a1cd321fc8556a1,0,690,51,117,174,0,507,141,0,392,0,359,0,167
0c0223d88228e470fd1520acdb55adad,106,563,0,127,0,0,991,129,0,477,0,470,0,0
122abc1a0801399ae12837ae3f7ad8e4,0,487,48,191,0,0,835,118,0,342,0,290,0,0
9bd57ec9560f1d1e419889a2c6ed0597,0,548,0,0,0,0,696,136,0,194,0,167,0,0
9ed12ad9eb23953f49fa4112d8487ba1,0,537,76,0,41,0,433,61,0,270,0,200,0,0
2990a0b19ee737c3819b09eab3854f41,125,527,0,129,0,0,297,0,0,186,0,217,88,0
85d3fce12aaa2b050781ed410765568a,74,0,0,0,0,0,0,50,81,0,0,0,0,0
9bf4bfd490198dfcaf6f33c9ac7bd23d,0,323,0,0,0,39,563,0,0,169,0,242,0,0
e3df63291734eff5d4e84915c9433425,0,139,0,0,0,188,160,144,126,396,167,181,229,472
b790cecad3d91a6a103b4287cd42e02e,0,0,0,24,61,0,0,0,0,0,0,0,104,0
11726ed62c9b4eb40ca0c8e9c38a90d6,0,0,0,0,0,48,0,0,0,59,0,0,0,0
b8bfe583dafe3e4d9fece27d5563a8af,0,117,0,281,0,0,92,0,0,761,0,390,97,0
3e212ec59d2a26034a9461b3be2dfef9,244,203,0,331,0,0,191,0,97,407,0,344,213,236
3824b3f159f036f4358a344e9c0f382f,0,415,284,0,0,0,92,0,0,0,0,0,172,118
21c57ad5c5ec7c24404d687accc2c620,0,265,139,315,0,0,0,158,0,630,81,191,66,0
8f49c09144667b6ffe7b00ef3c32b3aa,0,194,0,0,0,0,167,0,0,0,61,0,0,0
73ce0f30b3de6fc46137e1732137695e,0,0,0,0,232,0,63,0,0,0,0,0,223,0
39d16bf5914bdb10e3e5a757a1218128,0,54,0,0,0,0,135,0,0,177,0,440,0,151
f285706d7b44425572a63b08341f920b,0,189,61,0,0,0,131,316,0,214,0,0,0,0
85a6d642470b605d7446bda4b5dea812,0,98,0,114,0,0,172,0,0,519,0,0,0,0
6c3ef2d4a3168003d6ab92f0a78e52db,0,147,139,186,0,0,42,0,0,111,0,240,52,0
5a3aea466a183c2d38eb8b176d4bd0a9,0,287,0,0,0,0,196,0,120,163,0,0,152,276
58b00b511641d586ae870763172bd650,0,81,287,0,0,0,0,0,0,0,0,0,146,0
60cc7d8592d0be3c2826c6267eae2984,0,0,0,56,0,0,69,0,0,260,0,334,116,0
1f2caf42bbd4905672ded7cddaeca40c,0,0,0,0,126,0,0,0,0,407,0,109,0,113
e26fbebba4cc952ff2208d98a43df8e5,0,190,0,407,0,0,0,0,0,141,0,274,0,0
d39ee45607955971f9eaad76d0059f67,0,0,0,0,0,49,0,0,0,0,0,0,168,0
cc215a476252ea0ccd4bcf3bd45faf46,0,145,0,94,0,0,0,0,0,306,0,0,0,215
c7f5c0285b89fcff5c9778bc384d62b8,0,169,0,0,0,88,105,0,0,195,0,0,0,0
a89bdeef9e2e518ad28c6899075afe38,0,179,99,0,0,0,0,0,0,297,0,294,0,0
512fb2bfcb9f08fd7f1de3864b167c89,0,273,0,0,0,0,78,0,0,194,0,0,0,0
5c85119666bb9fc827c3315134cf59f8,0,0,0,0,0,0,0,0,0,0,106,87,0,215
b3b3eefd165e929f784f912165c76013,0,0,0,80,97,0,0,0,0,161,0,204,0,0
81d77fcc068b215e9a04729053416a8c,0,0,0,0,0,103,0,0,54,310,0,101,0,0
f12718dbb5068de7bba6e44db549a1f5,0,153,0,0,0,0,0,0,0,0,0,0,102,0
98ec867428fa2d84f8abd2eafcc97651,0,0,0,0,0,0,44,27,0,0,0,0,0,99
b9cd672a2b71e2ac6b686dc3de3972bb,0,0,0,0,0,0,44,0,0,0,0,0,101,0
dd8a09521c78c44b26ce59188b1c1341,0,0,0,0,0,0,170,0,0,0,0,0,0,96
51dfc8e30f17859a5f8d011d1718e6dc,0,182,0,0,95,0,0,0,0,0,0,0,0,0
9348e6e1aa675e632fd5bcaf53208399,57,0,0,0,0,0,59,0,0,0,0,0,0,0
5bfa6cc0f61bc374074856a27cfe51d6,0,149,0,270,0,0,106,0,0,297,48,265,0,0
078ca2e2199edabd0c9a69d1285ec237,0,0,0,0,0,0,115,0,0,239,0,307,0,0
3d95d9af453da2420df18136607e0274,0,89,0,265,0,0,225,39,0,301,0,279,0,0
b9f6bb04c1f2bf5a64cd07e124bbc6cf,0,81,0,0,0,0,180,0,0,0,0,0,0,0
4e797f5dc3a0722617983e7a428ead0a,0,0,0,0,0,0,0,0,0,27,60,0,0,81
b10448cd4124bdfd706450a4189961ef,0,237,0,0,0,0,19,0,0,238,0,0,0,0
39e4e482fac866fb40dac0bb65fff8c1,0,186,0,0,0,0,220,0,0,0,0,385,247,128
a12e2fa6917f40e375725c9eb63bd598,0,103,0,154,0,0,112,0,0,235,0,0,0,0
e8fb27cdade4f21030ae2ec2c7c5c65a,0,72,0,40,0,0,97,0,0,0,0,0,0,0
5abbeb2b46fb4d461812e6667166aeb6,0,226,0,0,0,0,0,0,0,0,38,0,0,0
09200481c23b5473a5263797322a8ded,0,213,0,0,0,0,0,0,734,0,0,0,0,0
d4e9b5916b230761f8f166d52791f319,0,0,0,0,0,0,67,0,0,0,0,0,0,113
a411d2d2a585cf5b0e120725cd5d92ee,0,0,0,0,0,0,0,0,0,66,0,126,0,0
c50e99458383ebf13ec3c37e8bd41b0d,0,0,142,224,0,0,86,0,48,152,0,0,0,198
ff74d7b6608aefe8c09ceaaa746bf8ee,0,0,0,0,0,0,147,0,49,0,0,0,0,0
c505e5292d56c52b738fea0e59cf10d3,0,76,0,0,0,0,0,102,109,285,0,0,0,0
465e917ea06d1ce6ea785d27f0372ef6,0,184,0,239,0,0,132,0,0,239,0,0,0,0
99c02683cc24f7897a97a5538b42dd5f,0,107,0,0,0,0,169,0,0,111,0,0,0,0
5ae8231c8df25f251314ff0003b99e0d,0,0,90,0,0,0,0,0,0,0,85,0,0,130
fba2c425666cc798aba66b67f343e7cb,0,123,0,0,0,0,204,0,0,154,0,0,0,0
5db3685b285e906a77e7b54c9151f332,0,0,33,0,0,0,0,169,0,0,186,76,164,0
3c7c2bff8010a2df93804ac94513591f,0,76,0,0,0,0,63,0,0,226,0,120,0,0
d3ee07171cd709aca368030b3209f716,0,154,0,0,0,0,149,0,0,107,22,0,0,0
d609fa906223bfb6bb432c6d28154d8d,18,0,0,0,0,0,0,34,0,343,36,0,0,0
ffdae294d23dec8a1057be1c01a82b00,0,0,0,0,0,0,0,0,0,0,0,366,256,0
5a94ea9f1f429d628fa9158bcc3f3522,0,153,0,0,0,0,91,0,0,176,0,0,0,0
4d3daa3c91ad9dda7d2eabc0e1158e4f,0,96,0,0,0,0,287,0,0,0,0,0,0,0
bf0b91f3de23f64092882b9887a3df88,0,423,0,44,0,0,0,0,0,297,0,436,0,0
b1314ba67a3793fb1e4c677b19108ba9,0,0,0,0,0,0,60,0,0,117,0,0,0,0
e59be2f0704f3f609ad33fb05f9c8c3d,76,47,0,0,0,0,0,0,0,0,0,0,0,0
405e7a354649f70e195564833ecc68d9,0,0,0,126,114,0,0,0,0,148,0,0,0,0
59b46738c3796eb8a58ef6444318efba,0,116,0,0,0,0,135,0,0,67,0,0,0,0
7329dceb679776a78fe337e3ae315163,226,154,0,0,0,0,0,0,0,0,0,0,0,0
75729107decd79c5d5e090fcf5dd6755,84,0,0,0,0,0,0,0,0,256,0,98,0,0
85ced0617efe9c0d6db11469cec5e33f,0,0,0,0,0,0,0,35,0,0,0,86,0,0
4584f9eff6a6695ed421f0610f52d1a8,0,50,0,114,0,0,0,0,0,123,0,0,0,0
929d4e9a806320e6189bad0b6e894de2,0,58,0,0,0,27,115,0,0,99,0,0,0,0
c5f24fe13978fd95092e795e9e46fc6c,0,0,0,0,0,0,72,0,0,132,0,0,0,0
cfd37ffa1a70b8fff7b79e58ebcdb405,0,0,0,0,0,0,0,0,0,196,0,64,0,0
8cad557b7e0fd2b410eac540c11cf0bb,0,56,0,44,0,0,0,0,0,166,0,0,0,0
fa9bb40f48ae1ef6b0f6494b3abaf8a6,0,126,0,293,0,0,111,0,0,179,0,0,0,0
feb2dc98b4f1630df7158b754f4486a2,0,82,0,86,0,0,142,0,0,0,0,0,0,0
43adc9217ba723d1bcd2c573d2fb1e4c,103,123,0,115,0,0,0,0,0,0,0,0,0,0
1871e37f08816e92048c77f7fe220b87,0,0,0,0,0,181,0,0,0,9,0,0,0,0
c19a37d32d24511f00ba3485d1220e2d,0,0,65,0,0,0,0,0,0,0,0,0,62,0
95d4e5d77eb28dee70ccfa0b548e56ca,0,0,0,0,0,0,212,0,0,302,0,0,0,0
d5b3e2256181d083769e7cbe2547e843,0,166,0,0,0,0,113,0,0,53,0,0,0,0
c83de1fa8644cae296fb81c7d0b1c95b,0,0,0,0,0,0,0,0,0,203,0,103,0,0
4509f00c097d6ac06e787fdf4291c972,0,0,0,0,0,0,144,0,0,222,0,176,0,0
d94079e1ce9d377c9783282155b2c5ab,0,0,0,0,0,0,50,0,0,99,0,0,0,0
ced624ac539da0734ca9540b5bb3641e,3,0,0,0,0,0,0,0,0,0,0,291,0,0
3868fe642ad7a297f20fd29db63f1cfc,0,0,0,218,0,0,108,0,0,187,0,0,0,0
929da7566b6d22d1d2a629ece1aba9d9,0,0,0,0,62,0,129,0,0,114,0,0,0,0
6f90c898da996a9bea2bf7b02f171032,0,0,0,164,0,0,169,0,0,192,0,0,0,140
29584c306ab826d7ae491dcdb014dcf9,0,0,0,0,0,0,0,0,0,136,0,84,0,0
3072a3979318827a5b097f865f24bb49,0,172,172,0,0,0,0,0,0,0,0,0,231,0
c7488c1987be6981c5d1c8eddf75bc31,0,129,0,0,0,0,0,140,0,176,0,0,0,0
a56c5895c1a30347be75857701fc2981,0,0,0,0,0,0,0,113,0,76,0,87,0,0
8f2dcc106747d7331073ac3b911636cc,151,0,0,0,0,0,0,0,0,98,0,139,0,0
5df4619d188e7f1c7c250738d0599c89,0,0,0,0,0,0,0,65,0,194,0,438,0,201
539e25a5a201b84963c987f9b452bbf9,16,0,0,0,17,0,0,0,0,0,0,0,0,76
e82f4792591bd3c02caf1d71f561d11e,0,104,0,0,0,0,0,0,0,56,0,0,0,0
46edfcf65339546943ed05cba8a05394,0,0,0,0,0,0,0,0,0,144,0,75,0,0
4a13064812d93b43916426da9664af74,0,43,0,0,0,0,103,0,0,213,0,0,0,0
4ffe7a36d3e9b9147a697b6391bb1a17,139,268,146,0,0,0,0,0,0,0,0,0,0,0
e08cdc1534af11f87ded2889e9e98d4c,129,159,0,0,0,0,0,0,0,0,0,0,0,0
5eb11f2c8df650c514a9a29540162ffd,0,179,0,0,0,0,0,0,0,0,0,242,0,0
a983799f4843e1a9d165a8bef1235858,0,0,0,0,0,0,0,0,436,0,0,0,30,0
1fa4d1bc4fa79be90a75ac329baf1507,0,0,126,0,0,0,71,0,0,176,0,0,0,0
eeae07184e5e893dc443e46819033764,0,0,0,0,0,0,0,0,12,0,0,226,0,0
f5240bdfbbfb5d4aaebfeedb19236e02,0,0,0,0,0,58,0,0,0,0,0,0,62,0
6889a4f7c0d5b054d3757ca3c9c883ce,0,0,0,0,48,0,0,243,0,0,0,0,0,0
e5a0a44e6f8bac62e5da9f52f6cfbaaf,97,0,0,0,0,0,103,0,0,124,35,0,0,0
306afa2d3e6312a6d8a5df652de56352,0,0,0,0,0,0,63,0,0,0,0,0,15,0
82bf6a6030c3ec4bc670ee92fb8c75bf,0,78,0,229,0,0,0,0,0,0,0,0,0,0
fc2aceb6ee2d8b363a05f2035fd5a9db,0,0,168,0,134,0,55,0,0,0,0,0,0,0
25c5933dd6bcdb24f654fd12a4a57ca1,0,0,0,0,0,0,126,0,0,210,0,0,0,0
40634fa5230eeac1caad2a1051a1ab8f,0,0,0,85,0,75,126,0,0,0,0,0,0,0
052598d33e54132aea15cd89384a33fc,0,0,0,0,0,0,0,0,49,214,0,0,0,0
d80eaf077afe72a9d1032d2f932e1f52,0,0,0,0,142,0,0,0,0,0,0,0,75,0
6dbeaca5516935f0c2e9c8b07aa4d43d,0,162,0,0,0,0,0,0,0,0,0,0,125,0
06be9b3e39b59471ca036a24d95bc37c,0,0,0,0,0,0,43,0,0,42,0,0,0,0
d705300a70b8ff7ae588698fa05eea82,0,0,0,0,0,0,58,0,0,82,0,0,0,0
5fe266e2710d52e46fd8d1f52caf4848,0,198,0,0,0,0,0,54,0,201,0,0,104,0
e5403356349f1325ee0334d481f5c845,0,0,0,139,32,0,0,0,0,0,0,0,0,80
c42a72e8c63206c9f10f630d81a08830,0,0,79,0,0,0,71,0,0,174,0,0,0,0
59d4191fad3002d3ccd344a69166f61e,11,0,0,0,0,0,0,19,0,0,0,0,0,0
b2bafc29447c1eebc4aa9f9fc401e45e,0,93,52,0,0,0,0,0,0,0,0,0,0,0
6e15578110449aee7c05b63ace6c2725,0,0,0,182,0,0,0,0,0,291,0,0,0,0
bee1d58137cd8ae3d40034c500055626,0,61,0,0,0,0,0,0,0,79,0,327,0,0
fd01400f27508a89ac8359371055e56c,0,434,0,0,0,0,0,0,0,324,0,0,0,0
8bd704bc24b4ed9e271cee9ec6234efc,0,129,0,0,0,0,0,0,0,0,0,0,172,0
5af5bf17d0a5ef239d2a3bb1630dd433,0,0,0,0,0,0,0,23,761,0,0,0,0,0
2f11909e8086f147c4fcc4d986b6b295,0,235,0,218,0,0,57,0,0,121,0,0,0,0
7579b4e85aad29f3be8220c825053977,0,0,0,0,0,0,72,0,0,167,0,149,0,0
209b9457ff38b41c1f2c26fda2fc1d6e,0,0,0,0,0,0,0,4,0,23,0,27,50,0
9396c78f7315eef029a8c31043d487de,0,0,0,128,0,0,190,0,0,85,0,0,0,0
b06b829b7b36406553655011b7c0c1b4,0,0,0,0,0,0,0,0,0,287,0,152,0,0
f76072a034341437c606c359f22f4c44,0,0,0,90,0,0,138,0,0,49,0,0,0,0
aaf2e3f8483523218488d4adcb404404,0,0,0,0,39,0,146,0,0,0,0,0,0,0
3e145e5b89e14039c03adc4c52fd4886,0,130,0,0,0,0,0,0,0,80,0,0,0,0
ac700ec758aca53a78f40b85a894a5ec,0,0,0,128,0,0,234,0,0,171,0,0,0,0
e12fcad9d10849440a313cda1470f8df,0,0,0,138,0,0,74,0,0,82,0,0,0,0
8f27cb14dc5ef3b6add9c716cec7fbf5,0,158,0,0,0,0,0,0,0,0,0,0,90,0
94584d2e4a6c39a7ca14109eb87a7e26,0,0,0,119,0,0,105,0,0,145,0,0,0,0
2ae9b8a5b73030035131a0d8fcc18bfb,0,311,0,0,0,0,0,0,0,137,0,0,0,0
1c1a2c5fb789c1796dbabb9873125298,0,0,0,0,0,0,0,0,0,108,0,153,97,0
dafc8732aabd6e89a6e9c6490e5d46fc,0,0,0,0,0,74,104,0,0,59,0,0,0,0
c66233144569c89836063e919b3662c8,0,0,0,0,0,0,130,0,0,160,0,0,0,0
247bb4fa9bd71adf5729bbf6c9f233b9,0,0,0,140,0,0,0,0,0,122,0,116,0,146
9526ea1c8274c0d216c4075319cbe387,0,73,0,0,0,0,53,0,0,0,0,0,96,0
22896d79c7b801b507c7506483e3d3f1,0,0,0,0,0,0,0,0,0,315,0,329,0,0
ccb619292de699076559494cdef3f9ef,0,52,0,0,0,0,85,0,0,0,0,0,0,0
684bbba7619ed78f45e4dd741184dcf7,0,53,0,0,0,108,0,0,0,0,0,0,0,0
13518c413bfd20965f2540cb2cd860da,0,0,151,0,0,0,0,0,0,0,42,0,0,0
21aecbb519534aa1d58b03492f5ba7a0,0,66,0,0,0,0,51,0,0,110,0,0,0,0
f08b9ea2beb32f78e3e162fe46cf1e12,0,0,0,0,0,0,69,0,0,114,0,0,0,0
34d151bcbcf3e6e101dc5f8b9d362ef3,0,151,0,0,0,0,0,0,0,51,0,0,0,0
1fe4ff4e04a0678740826aab52d8c68a,0,0,21,0,0,0,0,13,0,0,0,0,241,0
52668855f7865c0b8c2e6646f7560b70,0,0,0,0,0,0,28,0,0,68,0,0,0,0
c3a58592f8da16827a568df937c7f0b7,0,0,0,0,0,0,99,0,0,0,0,102,0,12
955b72139887fe69addb348e26909657,0,0,0,0,0,0,105,0,0,84,0,0,0,0
8848cc5603eaef4a0eda337e2d7ed879,0,0,0,0,0,0,0,0,0,0,0,67,278,0
8d00d522295a211e92ee4b3d6a8fb0a8,0,49,0,0,0,0,0,0,0,0,0,106,0,0
56a4ecfbd6479509f08a37e342c0a33e,0,185,0,0,0,0,0,0,0,0,0,0,96,0
da5cfd6fa84d0bbd10398f42ba81de91,0,0,0,0,0,0,155,0,0,69,0,0,0,0
1815f7c40b56097941ccc7751bbf5dd0,0,0,0,0,0,0,127,0,0,0,0,0,258,0
29b2088867c181f54bb3cbbab51b4026,0,0,0,0,0,0,99,0,0,132,0,0,0,0
96346202e9caff7a180454eba4b2232d,0,170,0,0,0,0,97,0,0,0,0,0,0,0
b72928f77914cf7c53ae9dcafc5fbb80,0,0,0,0,0,0,88,0,0,127,0,0,0,0
d08da8e8708b8187bbcc5fd71e39d7d4,0,0,0,117,0,0,55,0,0,0,0,0,0,0
fcb26c4829127c3d890260c024724a71,0,93,0,0,0,0,0,0,0,0,0,0,183,0
e2c95b049bfe5e5f113e9d8571e3995c,0,58,0,0,0,0,0,0,36,0,0,0,0,0
228b0716951c3aec256d73a2eaeb0a76,0,0,0,0,0,0,114,0,0,64,0,0,0,0
64ed7cde08bf8934db5c0d3b48505b9d,0,212,84,0,0,0,0,0,0,0,0,0,0,0
4ae4af5f7066ae87a3c2455a08427c51,0,0,0,0,0,0,0,0,0,343,0,0,0,59
8013c3affec7def4c38d26711fcf2c82,0,0,0,0,0,0,79,0,0,139,0,0,0,0
7d457d15d97700fabd386ad329112e6e,0,0,0,0,0,0,156,0,107,0,0,0,0,0
ac8c609d1ec7d58b494a92306c7d7f9d,0,0,0,0,0,0,0,0,274,16,0,0,0,0
3ede9cc1afeea71fad3903071d09e7c3,36,0,0,0,0,0,0,0,0,0,0,139,0,0
17c16acf71ae319d7c1596695bf1af4b,0,133,0,0,0,0,0,0,0,0,0,0,0,102
c48586143dcb3edcb8d74ba570707302,0,0,70,0,0,0,0,0,240,0,0,0,0,0
8ff16aad73917b563718767968f4e33b,0,0,0,74,0,0,59,0,0,106,0,0,0,0
c02967009ff097963618d1bc82831cf6,0,0,0,0,88,46,0,0,0,0,0,0,0,0
abccc92d592841f49257c724e7dd7697,0,0,0,0,0,0,97,0,0,148,0,0,0,0
c383cfcee541773eff7ab00ff076dfa0,0,148,0,0,0,0,0,0,0,0,0,103,0,0
3e90e67a8fe216e96a6a1d59918698e7,0,111,0,0,0,0,0,0,0,0,0,0,0,107
53197a6682fd233c5943455f7d1d98e7,0,87,0,0,0,0,0,0,0,0,0,49,0,0
7215411f4b25c87b0f5aa8191ef0e58c,0,71,0,0,0,0,0,0,0,0,0,236,0,0
7feb6506226326c36881c9d73bd0e02b,0,0,0,0,0,89,0,0,0,0,0,60,0,0
9afbe42f125ebacc08fa8d976f6fddd3,0,0,0,230,0,0,99,0,0,0,0,0,0,0
b665ee69778f865fe7544ca1abf8b71c,0,0,35,16,0,0,0,0,0,0,0,0,0,0
11a913c54257263701835ffbc10e9ce4,0,0,0,0,0,0,0,0,0,64,0,0,212,0
ba1c72a61182c04198f13487a5808fcc,0,0,0,0,0,0,87,0,0,0,0,0,23,0
1799f118b30a7a8173bf74cef60faf4a,30,0,0,0,0,0,0,0,29,0,0,0,0,0
22ecdc6da0b71d9461abef25acbf6293,0,105,52,0,0,0,0,0,0,53,0,0,0,0
b46a87550404998c9a1a576cefa8c21c,0,0,0,0,0,0,0,0,0,77,0,129,0,0
96f04875f70c77ff7990b24e475054ef,0,0,0,0,0,0,0,0,0,0,0,42,92,0
40d36e83dc9ce2299aa71467eb11c9f6,0,0,0,37,0,0,132,0,0,0,0,0,0,0
1fd227813553e35704665b6c6defa05d,0,0,0,0,0,0,0,0,0,0,0,0,55,74
d020910d8aa380e9744f7356410b9977,0,0,0,0,0,0,0,0,0,39,32,0,0,0
b956f7f3df83c8ee71937c90304ffc3a,19,0,0,0,0,0,0,0,169,0,0,0,0,0
11f865cc326024610b63520e1ecbb108,0,0,0,0,0,0,0,0,0,0,64,0,78,0
2056586fa2706a00b7224a28bbcceef4,0,0,0,0,0,0,0,4,0,0,0,35,0,8
20a579e3d9f94018e6b33339c9f00ead,47,0,9,0,0,0,0,0,0,0,0,0,0,0
6dcd1fe442dc19388d73d462c275578a,0,0,0,0,0,0,10,0,0,0,0,0,34,0
bb66e8c0faececd39a3383bac1271b0a,0,0,0,0,55,0,57,0,0,0,0,0,0,0
7ee207de9cf5f98761607b6bedd362d7,0,0,0,0,0,0,50,0,0,0,32,0,0,0
f4e058c87f4f673c032ce2d63ac5bfeb,0,0,13,0,0,0,0,0,0,0,0,0,79,0
928421d68b22454ae1980f6ff9e298ee,0,0,0,0,0,0,0,0,18,0,0,0,0,170
63e7484ee220ebd556bee9803bcaa3b6,0,0,0,122,0,0,33,0,0,0,0,0,0,0
d55c8eb8a14ca6c9c170d80d0860ec95,0,0,0,0,0,0,57,0,0,0,0,0,6,0
f747451b0489b0a8e108d03048488893,0,0,6,0,0,0,0,0,0,0,0,93,0,0
c0349091a88dd65e5e4fc11bebb52d22,0,0,0,0,0,0,21,0,0,30,0,0,0,0
04143cf6e815d2ea211547cb1c9d8ba5,0,0,0,0,0,0,0,0,0,0,0,27,0,9