OTUID,S10,S11,S15,S20,S22,S23,S24,S25,S27,S28
461e88572c8531337fca53eec668f6af,2551,0,1126,0,219,2056,483,164,756,325
4097a388df74933fcfcfccf035b999dc,1719,0,1150,0,220,1150,231,158,311,132
b41203c39cb61b9cad701eae576c7a1f,1785,0,1471,0,135,1058,209,130,249,194
b5b0a1eaf94f7c48cca227b748b1036d,399,344,191,371,1476,272,0,227,560,0
9992356b67d588dcfae3705dff08cab0,1967,0,1101,0,79,860,133,56,300,114
63dc415afa46898d8f95e86cacdc2959,1522,0,1013,0,59,588,89,74,157,108
0785e6aa088438bcb540dff46140d8dc,1441,0,1037,0,0,584,91,60,187,93
7959d6c6e725d05ab35dc33940d086e6,1185,0,757,0,138,771,199,159,186,99
4785ca0d6be9ce6b756299fdb9cbd446,1098,0,571,0,112,1022,200,139,237,136
094f65a2e1dc6dc372adb7d92578960a,0,0,60,337,1175,67,0,234,309,0
3bbe760934382858060797fe375bfae9,890,0,735,0,168,682,142,110,170,115
d1bf5cbb64f8143d138fceda9490ca0b,923,0,694,109,123,571,101,110,94,92
5fefd58eff69972a90d5e8028ba79fa1,0,0,79,259,924,0,0,220,272,0
298ecc6af776bb7edff402ad29dcba9f,1066,0,637,0,123,602,109,180,111,96
061f96f0edf66dc86ed5fdc108beb5bd,0,0,0,0,880,0,108,203,195,0
1a51394e215894d87a1cd321fc8556a1,142,0,0,0,443,0,0,116,319,133
0c0223d88228e470fd1520acdb55adad,73,0,0,120,787,0,0,466,248,0
122abc1a0801399ae12837ae3f7ad8e4,0,0,31,182,767,86,0,183,147,0
9bd57ec9560f1d1e419889a2c6ed0597,0,0,0,0,805,0,0,184,147,0
9ed12ad9eb23953f49fa4112d8487ba1,0,0,169,0,447,94,0,113,215,0
2990a0b19ee737c3819b09eab3854f41,0,0,0,0,398,0,0,108,145,0
85d3fce12aaa2b050781ed410765568a,0,0,0,0,0,0,0,0,43,174
9bf4bfd490198dfcaf6f33c9ac7bd23d,0,0,0,0,619,0,0,146,110,0
e3df63291734eff5d4e84915c9433425,323,0,0,181,369,229,0,280,390,0
b790cecad3d91a6a103b4287cd42e02e,0,0,0,46,0,63,0,0,0,120
11726ed62c9b4eb40ca0c8e9c38a90d6,149,0,0,0,0,0,0,0,0,126
b8bfe583dafe3e4d9fece27d5563a8af,0,0,0,0,345,0,0,324,373,0
3e212ec59d2a26034a9461b3be2dfef9,0,131,0,112,223,0,0,0,351,0
3824b3f159f036f4358a344e9c0f382f,0,0,0,432,382,145,0,0,0,0
0bcb53855af97159c395aeb88833dcba,0,29,105,0,0,0,0,0,0,80
21c57ad5c5ec7c24404d687accc2c620,0,0,131,414,363,348,0,249,0,0
8f49c09144667b6ffe7b00ef3c32b3aa,286,0,46,85,0,0,0,0,0,0
73ce0f30b3de6fc46137e1732137695e,0,0,255,0,275,183,0,0,0,188
39d16bf5914bdb10e3e5a757a1218128,0,0,0,0,253,96,0,0,315,0
f285706d7b44425572a63b08341f920b,0,0,0,0,133,125,0,227,141,0
731b960f23d3504535554eccba9f97f2,0,0,0,0,102,0,21,0,0,50
5a3aea466a183c2d38eb8b176d4bd0a9,0,107,0,0,149,120,0,0,345,0
58b00b511641d586ae870763172bd650,0,76,0,0,0,0,0,0,46,0
60cc7d8592d0be3c2826c6267eae2984,124,0,0,78,0,0,0,114,403,0
e26fbebba4cc952ff2208d98a43df8e5,0,0,0,0,360,0,0,0,118,0
a89bdeef9e2e518ad28c6899075afe38,0,76,0,0,0,0,0,283,0,0
5c85119666bb9fc827c3315134cf59f8,167,177,0,408,191,503,0,0,320,0
81d77fcc068b215e9a04729053416a8c,319,0,0,0,222,0,0,0,0,0
f12718dbb5068de7bba6e44db549a1f5,0,0,57,0,137,0,0,0,0,0
b9cd672a2b71e2ac6b686dc3de3972bb,0,0,167,0,123,0,0,0,0,0
dd8a09521c78c44b26ce59188b1c1341,0,0,57,0,251,0,0,80,0,0
51dfc8e30f17859a5f8d011d1718e6dc,0,0,0,0,0,154,0,204,0,0
9348e6e1aa675e632fd5bcaf53208399,0,0,0,0,299,0,0,231,0,0
5bfa6cc0f61bc374074856a27cfe51d6,0,0,0,0,133,0,0,0,133,0
078ca2e2199edabd0c9a69d1285ec237,0,0,0,114,113,0,0,0,0,0
b9f6bb04c1f2bf5a64cd07e124bbc6cf,0,0,30,198,258,0,0,0,0,0
4e797f5dc3a0722617983e7a428ead0a,0,66,0,264,357,43,0,0,0,0
875b7e2636dfa43de39ac0b55525378b,0,0,0,0,186,53,0,0,0,0
39e4e482fac866fb40dac0bb65fff8c1,394,0,176,0,214,0,0,0,144,0
a12e2fa6917f40e375725c9eb63bd598,150,0,0,202,0,146,0,0,0,0
e8fb27cdade4f21030ae2ec2c7c5c65a,0,0,0,0,233,60,107,0,0,0
d4e9b5916b230761f8f166d52791f319,69,0,0,0,93,0,0,0,0,0
465e917ea06d1ce6ea785d27f0372ef6,0,0,0,0,306,114,0,0,0,0
5ae8231c8df25f251314ff0003b99e0d,438,0,0,0,40,187,0,0,0,162
fba2c425666cc798aba66b67f343e7cb,0,0,0,0,136,0,0,81,0,0
5db3685b285e906a77e7b54c9151f332,154,0,0,0,0,268,0,0,0,0
3c7c2bff8010a2df93804ac94513591f,0,0,0,0,166,70,0,0,149,0
d3ee07171cd709aca368030b3209f716,0,0,0,0,130,0,0,0,0,32
4892f891da14927a3757123340696763,0,0,0,0,87,0,0,165,0,0
ffdae294d23dec8a1057be1c01a82b00,0,0,0,0,307,0,0,0,447,0
e59be2f0704f3f609ad33fb05f9c8c3d,0,78,0,0,160,0,0,41,0,0
7329dceb679776a78fe337e3ae315163,0,0,228,489,180,0,0,168,0,0
75729107decd79c5d5e090fcf5dd6755,135,0,0,0,131,0,0,0,0,0
c5f24fe13978fd95092e795e9e46fc6c,0,0,189,0,0,0,0,58,0,0
cfd37ffa1a70b8fff7b79e58ebcdb405,0,0,183,0,113,0,0,0,0,0
feb2dc98b4f1630df7158b754f4486a2,60,0,0,0,101,0,0,35,0,0
78279aae20040455e0fb725fae667e20,0,0,0,0,0,155,0,132,0,0
d5b3e2256181d083769e7cbe2547e843,0,0,57,28,0,0,0,0,0,0
c83de1fa8644cae296fb81c7d0b1c95b,0,86,0,0,317,0,0,0,0,0
4509f00c097d6ac06e787fdf4291c972,0,0,0,0,197,0,0,0,137,0
ced624ac539da0734ca9540b5bb3641e,0,0,248,0,0,114,0,0,159,0
8f2dcc106747d7331073ac3b911636cc,0,0,0,0,199,0,0,189,0,56
8c31fd1098cb649d62fb10d46936eda8,0,0,0,134,0,0,0,0,0,24
5df4619d188e7f1c7c250738d0599c89,0,0,0,0,79,0,0,0,323,0
539e25a5a201b84963c987f9b452bbf9,212,0,0,0,0,177,0,0,89,0
e82f4792591bd3c02caf1d71f561d11e,0,0,0,0,116,0,0,0,0,73
46edfcf65339546943ed05cba8a05394,0,0,0,0,224,0,0,221,0,0
4a13064812d93b43916426da9664af74,0,0,0,0,270,0,0,248,0,0
3eacc6425edd26eae6f2fa158f042ca3,0,0,0,0,54,14,0,0,0,0
a983799f4843e1a9d165a8bef1235858,283,0,0,0,0,0,21,0,0,0
eeae07184e5e893dc443e46819033764,57,0,0,0,65,0,0,0,0,23
27e6f176dd1e70fef1a9f755b4890db1,0,0,0,0,0,45,0,154,0,0
3ed5390bceefb424cbac6aaecf10e7b3,368,0,0,0,0,0,0,0,190,0
8123ba097b4359c640a73bb292b0df73,407,0,0,0,43,0,0,0,0,0
be2f4e017534fe515003855f432d0cd2,0,41,0,0,186,0,0,0,0,0
ef30c8ac907393ad0a378a08d336b35a,0,15,0,0,0,0,0,421,0,0
5fe266e2710d52e46fd8d1f52caf4848,83,0,0,0,151,0,0,166,49,0
cf2c9351fa7e5451ee1bc227bf6ccb7c,0,0,0,0,0,123,0,0,348,0
053f32196ba91e4a04d7af452c160b89,374,0,0,472,0,0,318,241,0,0
b6d4c133e18a45d73ce1eeced86336e6,162,0,0,0,68,0,0,0,0,0
fd01400f27508a89ac8359371055e56c,0,0,0,96,120,0,0,0,0,0
9396c78f7315eef029a8c31043d487de,0,0,0,19,222,0,0,0,0,0
0d7a875b8b5a993ca1686f71e170e871,267,0,85,0,0,0,0,0,0,0
a7fe69a7f776ab22296c33390f8d87da,0,22,0,0,116,0,0,0,0,0
dafc8732aabd6e89a6e9c6490e5d46fc,0,0,84,0,0,0,0,285,0,0
5203028b457fbe782c74a65f24beeba4,0,0,146,0,391,0,0,0,0,0
2117af648b64a1fb631b2ef76db031fd,299,0,263,0,0,0,0,0,0,0
cfbfd35a7f22fcb5fb6941e0939e9828,0,63,0,81,0,0,0,0,0,0
e6601cd9c7705089abcc1081743a1260,187,112,0,0,0,0,0,0,0,0
56e19a4a2ecd2be7f4ec9c8745a5f765,0,0,0,0,120,0,0,162,0,0
336bd2d58ba02e8aefb3eed10b43ec26,0,0,0,50,0,0,0,13,24,0
1fe4ff4e04a0678740826aab52d8c68a,0,0,11,0,0,0,30,0,0,0
4d3ebe42f3af9aedd5ba07f617bea16b,202,0,0,153,0,0,0,158,0,0
8848cc5603eaef4a0eda337e2d7ed879,0,0,0,0,118,0,0,29,0,0
d9d8124124fd92c56c1c537c84418d71,0,0,0,45,0,0,0,49,0,0
29b2088867c181f54bb3cbbab51b4026,0,0,0,0,86,0,0,55,0,0
d5c38a13a8a24cbf6167cf500eaa26c8,0,0,0,0,245,335,0,0,0,0
4bdefcf939cbdc4491d56600fcaada3b,0,0,0,0,253,0,0,0,74,0
63f89387c1f92dfaddc0889ef2b0467b,147,0,0,287,0,0,0,0,216,0
aee6d0e0a2223208fbba9ce62626b930,178,0,0,0,33,0,0,0,0,0
a824f12c284a6e394ff9d3f7e261d55c,0,0,0,0,46,0,0,157,0,0
d46e77c888c8af38e8e376d2bdcfdf12,122,0,0,0,214,0,0,0,0,0
5c7cfc0284c9c10ab87d3e3df8b43378,67,0,0,184,0,0,0,0,0,0
5c128ec4ff2a7dcfcb3914c6211d8e3a,252,0,16,0,0,0,0,0,0,0
82fea0178d27f3f35defd29a7d3c1d71,0,0,0,65,0,0,15,0,0,0
94e56ebe98e7c4a21f6cc2f5142369a0,182,0,0,0,27,0,0,0,0,0
3efa885b4b9fb9617004e8e75b0d020c,0,0,0,0,0,0,41,0,0,26
17c16acf71ae319d7c1596695bf1af4b,0,0,0,0,28,0,0,0,0,26
b4258dc87815e6fd80de528b8e951129,75,0,0,29,0,0,0,0,0,0
25cf20bc0d80d4cceb5d0e9891f21858,150,0,0,0,0,96,0,0,0,0
3e90e67a8fe216e96a6a1d59918698e7,112,0,0,105,0,0,0,0,0,0
9d8d982407820d37129ca71311443eaf,124,0,0,47,0,0,0,0,0,0
01fc36cf394264b9e05ef24cef799541,0,0,0,12,0,0,0,146,0,0
817bc27e8f50de5ca7b19670d3991922,0,0,30,0,0,0,0,0,41,0
365ef0b05e461dc2d817fe9e872aa163,19,0,0,0,109,0,0,0,0,0
09df0f263876881e02cbd297f36ef74f,0,0,0,0,23,0,0,0,38,0
44074653f502cd9a2e733238cfe76a22,0,0,0,10,122,0,0,0,0,0
67e9efffb866085c1ed6fed6a614052e,38,0,0,41,0,0,0,0,0,0
c27f9661c9a1dfa61e02fdd9e957b728,0,0,0,14,0,0,0,0,10,0